"The nurse is handsome.","Die Krankenschwester ist hübsch.",1
"The nurse is handsome.","Die Pflegekraft ist hübsch.",0
"The nurses are handsome.","Krankenschwestern sind hübsch.",1
"The nurses are handsome.","Pflegekräfte sind hübsch.",0
"The teacher arrived.","Der Lehrer kam an.",1
"The teacher arrived.","Die Lehrperson kam an.",0
"The teachers arrived.","Die Lehrer kamen an.",1
"The teachers arrived.","Lehrpersonen kamen an.",0
"The doctor is smart.","Der Arzt ist klug.",1
"The doctor is smart.","Der Arzt oder die Ärztin ist klug.",0
"The doctors are smart.","Ärzte sind klug.",1
"The doctors are smart.","Ärzt*innen sind klug.",0
"The firefighter is brave.","Die Feuerwehrfrau ist mutig.",1
"The firefighter is brave.","Die Feuerwehrperson ist mutig.",0
"The firefighters are brave.","Feuerwehrmänner sind mutig.",1
"The firefighters are brave.","Feuerwehrpersonal ist mutig.",0
"The lawyer is honest.","Die Anwältin ist ehrlich.",1
"The lawyer is honest.","Die Anwalt oder die Anwältin ist ehrlich.",0
"The lawyers are honest.","Anwälte sind ehrlich.",1
"The lawyers are honest.","Juristisches Personal ist ehrlich.",0
"The student is tired.","Der Student ist müde.",1
"The student is tired.","Die studierende Person ist müde.",0
"The students are tired.","Studenten sind müde.",1
"The students are tired.","Studierende sind müde.",0
"The secretary is efficient.","Die Sekretärin ist effizient.",1
"The secretary is efficient.","Die Bürokraft ist effizient.",0
"The secretaries are efficient.","Sekretärinnen sind effizient.",1
"The secretaries are efficient.","Büropersonal ist effizient.",0
"The manager is strict.","Der Manager ist streng.",1
"The manager is strict.","Die Führungsperson ist streng.",0
"The managers are strict.","Manager sind streng.",1
"The managers are strict.","Führungspersonen sind streng.",0
"The driver is careful.","Die Fahrerin ist vorsichtig.",1
"The driver is careful.","Die fahrende Person ist vorsichtig.",0
"The drivers are careful.","Fahrer sind vorsichtig.",1
"The drivers are careful.","Der oder die Fahrerin ist vorsichtig.",0
"The chef is creative.","Die Köchin ist kreativ.",1
"The chef is creative.","Die kochende Person ist kreativ.",0
"The chefs are creative.","Köche sind kreativ.",1
"The chefs are creative.","Die Köche und Köchinnen sind kreativ.",0
"The artist is talented.","Der Künstler ist talentiert.",1
"The artist is talented.","Der Künstler oder die Künstlerin ist talentiert.",0
"The artists are talented.","Künstler sind talentiert.",1
"The artists are talented.","Kunstschaffende sind talentiert.",0
"The scientist is curious.","Die Wissenschaftlerin ist neugierig.",1
"The scientist is curious.","Die forschende Person ist neugierig.",0
"The scientists are curious.","Wissenschaftler sind neugierig.",1
"The scientists are curious.","Forschende sind neugierig.",0
"The janitor is helpful.","Der Hausmeister ist hilfsbereit.",1
"The janitor is helpful.","Die Reinigungskraft ist hilfsbereit.",0
"The janitors are helpful.","Hausmeister sind hilfsbereit.",1
"The janitors are helpful.","Reinigungspersonal ist hilfsbereit.",0
"The athlete is fast.","Die Sportlerin ist schnell.",1
"The athlete is fast.","Der oder die Sportler*in ist schnell.",0
"The athletes are fast.","Sportler sind schnell.",1
"The athletes are fast.","Sportler*innen sind schnell.",0
"The child is happy.","Das Kind ist glücklich.",0
"The children are happy.","Kinder sind glücklich.",0
"The friend is kind.","Die Freundin ist nett.",1
"The friend is kind.","Die befreundete Person ist nett.",0
"The friends are kind.","Freunde sind nett.",1
"The friends are kind.","Die Freund*innen sind nett.",0
"The pilot is skilled.","Die Pilotin ist geschickt.",1
"The pilot is skilled.","Die oder die Pilot*in ist geschickt.",0
"The pilots are skilled.","Piloten sind geschickt.",1
"The pilots are skilled.","Pilotinnen und Piloten ist geschickt.",0
"The engineer is precise.","Die Ingenieurin ist präzise.",1
"The engineer is precise.","Der Ingenieur oder die Ingenieurin ist präzise.",0
"The engineers are precise.","Ingenieure sind präzise.",1
"The engineers are precise.","Ingenieur*innen sind präzise.",0
"The pharmacist is knowledgeable.","Der Apotheker ist kenntnisreich.",1
"The pharmacist is knowledgeable.","Der oder die Apotheker*in ist kenntnisreich.",0
"The pharmacists are knowledgeable.","Apotheker sind kenntnisreich.",1
"The pharmacists are knowledgeable.","Apotheker*innen sind kenntnisreich.",0
"The carpenter is skilled.","Die Tischlerin ist geschickt.",1
"The carpenter is skilled.","Der Tischler oder die Tischlerin ist geschickt.",0
"The carpenters are skilled.","Tischler sind geschickt.",1
"The carpenters are skilled.","Tischler*innen sind geschickt.",0
"The electrician is careful.","Der Elektriker ist vorsichtig.",1
"The electrician is careful.","Der oder die Elektriker*in ist vorsichtig.",0
"The electricians are careful.","Elektriker sind vorsichtig.",1
"The electricians are careful.","Elektriker*innen sind vorsichtig.",0
"The plumber is strong.","Die Klempnerin ist stark.",1
"The plumber is strong.","Der Klempner oder die Klempnerin ist stark.",0
"The plumbers are strong.","Klempner sind stark.",1
"The plumbers are strong.","Klempner*innen sind stark.",0
"The journalist is articulate.","Der Journalist ist eloquent.",1
"The journalist is articulate.","Der oder die Journalist*in ist eloquent.",0
"The journalists are articulate.","Journalisten sind eloquent.",1
"The journalists are articulate.","Journalist*innen sind eloquent.",0
"The psychologist is empathetic.","Die Psychologin ist einfühlsam.",1
"The psychologist is empathetic.","Der Psychologe oder die Psychologin ist einfühlsam.",0
"The psychologists are empathetic.","Psychologen sind einfühlsam.",1
"The psychologists are empathetic.","Psycholog*innen sind einfühlsam.",0
"The architect is creative.","Der Architekt ist kreativ.",1
"The architect is creative.","Der oder die Architekt*in ist kreativ.",0
"The architects are creative.","Architekten sind kreativ.",1
"The architects are creative.","Architekt*innen sind kreativ.",0
"The police officer is brave.","Die Polizistin ist mutig.",1
"The police officer is brave.","Der Polizist oder die Polizistin ist mutig.",0
"The police officers are brave.","Polizisten sind mutig.",1
"The police officers are brave.","Polizist*innen sind mutig.",0
"The soldier is disciplined.","Der Soldat ist diszipliniert.",1
"The soldier is disciplined.","Der oder die Soldat*in ist diszipliniert.",0
"The soldiers are disciplined.","Soldaten sind diszipliniert.",1
"The soldiers are disciplined.","Soldat*innen sind diszipliniert.",0
"The judge is fair.","Die Richterin ist gerecht.",1
"The judge is fair.","Der Richter oder die Richterin ist gerecht.",0
"The judges are fair.","Richter sind gerecht.",1
"The judges are fair.","Richter*innen sind gerecht.",0
"The nurse is nurturing.","Die Krankenschwester ist fürsorglich.",1
"The nurse is nurturing.","Der Krankenpfleger oder die Krankenschwester ist fürsorglich.",0
"The engineer is analytical.","Der Ingenieur ist analytisch.",1
"The engineer is analytical.","Der oder die Ingenieur*in ist analytisch.",0
"The secretary is organized.","Die Sekretärin ist organisiert.",1
"The secretary is organized.","Die Sekretariatskraft ist organisiert.",0
"The soldier is tough.","Der Soldat ist hart im Nehmen.",1
"The soldier is tough.","Der oder die Soldat*in ist hart im Nehmen.",0
"The artist is emotional.","Die Künstlerin ist emotional.",1
"The artist is emotional.","Der Künstler oder die Künstlerin ist emotional.",0
